Source,Species,Count
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Argyranthemum frutescens,Argyranthemum frutescens,1
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
chloroplast Chamaemelum nobile,Chamaemelum nobile,19
chloroplast Chamaemelum nobile,Chamaemelum nobile,19
chloroplast Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
Chamaemelum nobile,Chamaemelum nobile,19
